File,075fcd95-fa1e-49d3-8a2b-982d41695f10(%Of-File),075fcd95-fa1e-49d3-8a2b-982d41695f10(%Of-Feature),075fcd95-fa1e-49d3-8a2b-982d41695f10(#Propagations),28c9cac7-4d8a-4d53-a9e9-7fbf97f4eacc(%Of-File),28c9cac7-4d8a-4d53-a9e9-7fbf97f4eacc(%Of-Feature),28c9cac7-4d8a-4d53-a9e9-7fbf97f4eacc(#Propagations),6a21491c-5e8f-4234-9638-b793fa71e694(%Of-File),6a21491c-5e8f-4234-9638-b793fa71e694(%Of-Feature),6a21491c-5e8f-4234-9638-b793fa71e694(#Propagations),a60b0cc8-1a14-4f65-a58e-aaa5ae044373(%Of-File),a60b0cc8-1a14-4f65-a58e-aaa5ae044373(%Of-Feature),a60b0cc8-1a14-4f65-a58e-aaa5ae044373(#Propagations),b4d2d469-c4cb-468e-888d-ee083e2dc9ef(%Of-File),b4d2d469-c4cb-468e-888d-ee083e2dc9ef(%Of-Feature),b4d2d469-c4cb-468e-888d-ee083e2dc9ef(#Propagations),c33da827-deff-4676-8bd1-3adcae78ae3e(%Of-File),c33da827-deff-4676-8bd1-3adcae78ae3e(%Of-Feature),c33da827-deff-4676-8bd1-3adcae78ae3e(#Propagations),db0c3f43-b03b-46e6-a66d-86c412698eca(%Of-File),db0c3f43-b03b-46e6-a66d-86c412698eca(%Of-Feature),db0c3f43-b03b-46e6-a66d-86c412698eca(#Propagations),e16d92c3-ee9f-418d-8c7e-91112cdc5248(%Of-File),e16d92c3-ee9f-418d-8c7e-91112cdc5248(%Of-Feature),e16d92c3-ee9f-418d-8c7e-91112cdc5248(#Propagations)
src\Web\WebSPA\Client\src\modules\shared\components\identity\identity.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.90412272291466,50,1,0,0,0
src\Web\WebMVC\Views\Shared\_Layout.cshtml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7196770229945585,50,1,0,0,0
src\Services\Catalog\Catalog.FunctionalTests\Catalog.FunctionalTests.csproj,1.8801410105757932,40,2,1.8801410105757932,40,2,0,0,0,0,0,0,1.8801410105757932,40,2,1.9976498237367801,40,2,0,0,0,0,0,0
src\Tests\Services\Application.FunctionalTests\Application.FunctionalTests.csproj,1.1319419879731163,40,2,1.1319419879731163,40,2,0,0,0,0,0,0,1.1319419879731163,40,2,1.2026883622214362,40,2,0,0,0,0,0,0
src\Web\WebMVC\WebMVC.csproj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3325573661456601,25,1
src\Web\WebSPA\WebSPA.csproj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2767783005812344,25,1
src\Web\WebSPA\Server\Infrastructure\WebContextSeed.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3434065934065934,25,1
src\Web\WebMVC\Infrastructure\WebContextSeed.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2844950213371266,25,1
src\Services\Catalog\Catalog.API\Infrastructure\CatalogContextSeed.cs,0.08976660682226212,20,1,0.08976660682226212,20,1,0,0,0,0,0,0,0.08976660682226212,20,1,0.0953770197486535,20,1,0,0,0,0,0,0
