File,Brands(%Of-File),Brands(%Of-Feature),Brands(#Propagations),HeaderMVC(%Of-File),HeaderMVC(%Of-Feature),HeaderMVC(#Propagations),HeaderSPA(%Of-File),HeaderSPA(%Of-Feature),HeaderSPA(#Propagations),Items(%Of-File),Items(%Of-Feature),Items(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Ordering(%Of-File),Ordering(%Of-Feature),Ordering(#Propagations),Payment(%Of-File),Payment(%Of-Feature),Payment(#Propagations),Pictures(%Of-File),Pictures(%Of-Feature),Pictures(#Propagations),Types(%Of-File),Types(%Of-Feature),Types(#Propagations)
src\docker-compose.override.windows.yml,20.703384207033842,1.6666666666666667,2,0,0,0,6.370272063702721,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\apigw\configuration.json,24.70046082949309,1.6666666666666667,2,0,0,0,10.046082949308756,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Services\Identity\Identity.API\Dockerfile,21.285838401390095,0.8333333333333334,1,0,0,0,2.2589052997393573,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders-new\orders-new.component.html,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Services\Identity\Identity.API\Configuration\Config.cs,6.954725426063006,7.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Services\Identity\Identity.API\Data\ConfigurationDbContextSeed.cs,2.8078385492834164,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\aggregator\Config\UrlsConfig.cs,4.648956356736242,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Tests\Services\Application.FunctionalTests\Application.FunctionalTests.csproj,10.364343827378846,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\aggregator\Mobile.Shopping.HttpAggregator.csproj,4.9638989169675085,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\ApiGateways\Web.Bff.Shopping\aggregator\Web.Shopping.HttpAggregator.csproj,4.623791509037411,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
